votesInFavor,distance,ateFavoriteDish,endTime,groupID,canteenTime,pastExperience,canteenExperience,canteen
1,0.7,0,5.88,2,2.20,0.65,0.6,0
1,0.7,0,5.88,2,3.21,0.625,0.6,0
1,0,1,6.01,2,4.15,0.725,0.6,0
1,0,0,6.01,2,5.17,0.55,0.8,0
1,0,0,10.65,3,0.50,0.6,0.4,2
1,0,1,10.65,3,1.51,0.725,0.3,2
1,0,1,12.38,3,0.79,0.55,0.4,1
1,0,1,12.38,3,1.80,0.325,0.6,1
1,0,1,12.37,3,2.81,0.55,1,1
1,0,1,0.55,1,0.50,0.625,0.9,0
0.67,0,1,1.87,1,0.11,0.475,0.6,2
1,0,1,0.53,1,1.51,0.55,0.6,0
0.67,0,1,1.87,1,1.13,0.45,0.6,2
1,0,0,0.56,1,2.53,0.6,0.7,0
1,0,1,0.56,1,3.54,0.625,0.5,0
0.67,0,1,1.89,1,2.14,0.825,0.3,2
1,0,1,3.09,1,0.92,0.6,0.9,4
1,0,0,0.57,1,4.55,0.675,0.5,0
1,0,0,3.09,1,1.93,0.475,0.4,4
0.5,0,1,5.77,1,0.28,0.6,0.5,1
0.5,0.5,0,4.75,1,1.27,0.475,0.5,0
1,0.9,1,3.67,1,2.37,0.525,0.3,4
0.5,0,0,5.77,1,1.31,0.525,0.7,1
0.5,0.5,1,4.75,1,2.27,0.625,0.4,0
1,0.9,1,3.67,1,3.38,0.8,0.6,4
1,0,0,5.74,2,2.39,0.725,0.7,0
1,0.9,1,8.32,2,0.78,0.725,0.2,3
1,0,1,5.74,2,3.40,0.55,0.9,0
1,0.9,1,8.32,2,1.79,0.45,0.5,3
0.67,0,1,10.57,3,0.52,0.55,0.5,1
0.5,0.7,1,10.12,2,0.99,0.65,0.6,0
0.67,0,1,10.58,3,1.54,0.55,0.5,1
1,0,1,12.06,3,0.05,0.725,0.5,2
0.5,0.7,1,10.12,2,2.00,0.625,0.7,0
0.67,0,0,10.58,3,2.55,0.325,0.6,1
1,0,1,12.06,3,1.06,0.6,0.4,2
1,0,1,0.60,1,0.48,0.625,1,0
