distance,groupID,canteenTime,pastExperience,canteenExperience,canteen
0,1,0.67611194,0.475,0.9,4
0.5,1,2.700618808,0.55,0.5,1
0,1,3.565957485,0.675,0.4,0
0,1,1.705844666,0.6,0.4,4
0,1,4.570427322,0.625,0.6,0
0.5,1,3.734549756,0.8,0.6,1
0.9,1,2.455614247,0.8,1,4
0.5,1,2.864995258,0.625,0.5,0
0.9,1,3.468311131,0.525,0.5,4
0.6,2,0.124058404,0.4,0.5,5
0.5,1,3.883209082,0.475,0.4,0
0.6,2,1.131693048,0.675,1,5
0,2,2.713844256,0.725,0.3,0
0,2,3.72516557,0.55,0.4,0
0.7,2,4.183262113,0.625,0.7,0
0.6,3,0.505183705,0.475,0.4,5
0,3,0.458896668,0.725,0.6,2
0.7,2,5.204659921,0.65,0.6,0
0,3,1.463730585,0.6,0.5,2
0.6,3,1.54010145,0.6,0.7,5
0.6,3,2.550317776,0.775,0.6,5
0,1,0.576664769,0.625,0.6,0
0,1,1.612649394,0.55,0.7,0
0,1,0.716731724,0.475,0.7,2
0,1,0.54617938,0.6,0.6,4
0,1,2.625274356,0.625,0.6,0
0,1,1.72903378,0.45,0.4,2
0,1,1.574546533,0.475,0.5,4
0,1,2.757810222,0.825,0.2,2
0,1,3.670440777,0.675,0.5,0
0.9,1,2.366504861,0.525,0.6,4
0,1,4.666952547,0.6,0.5,0
0,1,0.217757081,0.6,0.5,1
0.9,1,3.376406587,0.8,0.6,4
0.5,1,1.946719984,0.475,0.4,0
0,1,1.228481826,0.525,0.5,1
0.5,1,2.957751087,0.625,0.6,0
0,2,2.643018077,0.725,0.2,0
0,2,3.655013759,0.55,0.5,0
0.6,2,0.714618909,0.675,0.8,5
0.7,2,3.758110966,0.625,0.5,0
0.6,2,1.727580727,0.4,0.5,5
0,3,0.252529068,0.725,0.4,2
0.7,2,4.76980334,0.65,0.4,0
0.6,3,1.312805393,0.775,0.2,5
0,3,1.267108269,0.6,0.6,2
0.6,3,2.324359461,0.6,0.4,5
0,1,0.63874784,0.55,0.6,0
0,1,1.686704093,0.675,0.5,0
0,1,0.518867464,0.6,0.4,4
0,1,0.818733858,0.825,0.6,2
0,1,1.53727944,0.475,0.6,4
0,1,2.720516727,0.625,0.6,0
0,1,1.834282921,0.475,0.6,2
0,1,3.798715117,0.6,0.2,0
0.9,1,0.925395299,0.525,0.7,4
0,1,2.898536004,0.45,0.5,2
0,1,4.803337414,0.625,0.5,0
0.9,1,1.967252335,0.8,0.7,4
0.5,1,2.141003406,0.625,0.6,0
0,1,0.338126789,0.525,0.6,1
0.5,1,3.147715278,0.475,0.3,0
0,1,1.348131785,0.6,0.4,1
0.7,2,1.125166504,0.625,0.2,0
0.9,2,0.233550423,0.725,0.7,3
0.7,2,2.136962976,0.65,0.6,0
0.9,2,1.278455107,0.45,0.2,3
0,2,0.242512057,0.725,0.6,0
0,3,0.458064506,0.725,0.9,2
0,3,0.675931931,0.55,0.5,1
0,2,1.257835285,0.55,0.6,0
